dates,competition,teams,market,odds,stake,event,bookie,balance,result
8/1/19 14:00,Europa League,FC Astana v FC Santa Coloma,Corners Race,2.5,1,LIVE,Bet365,-1,Loss
7/28/19 12:30,Belgium,Anderlecht v KV Oostende,Corners Race,1.8,2,LIVE,Bet365,1.6,Win
7/28/19 11:30,Germany,Hamburg v Darmstadt,Corners Race,2,3,LIVE,Bet365,-3,Loss
7/27/19 18:30,Argentina,San Lorenzo v Godoy Cruz,Corners Race,2.375,2,LIVE,Bet365,2.75,Win
7/27/19 16:00,Sweden,Jonkopings Sodra v Degerfors,Corners Race,1.909,2,LIVE,Bet365,1.82,Win
7/25/19 18:30,Europa League,Aris Salonika v AEL Limassol,Corners Race,3.4,1,LIVE,Bet365,-1,Loss
7/25/19 18:30,Europa League,AZ v BK Hacken,Corners Race,1.727,2,LIVE,Bet365,1.45,Win
7/25/19 18:15,Europa League,Lucerne v KI Klaksvik,Corners Race,2,1,LIVE,Bet365,1,Win
7/25/19 18:00,Europa League,Piast Gliwice v Riga FC,Corners Race,4.333,1,LIVE,Bet365,-1,Loss
7/25/19 17:00,Sweden,Halmstad v Brommapojkarna,Corners Race,3.75,1,LIVE,Bet365,2.75,Win
7/25/19 16:30,Europa League,FC Utrecht v Zrinjski Mostar,Corners Race,5,1,LIVE,Bet365,4,Win
7/23/19 18:00,Champions League,PSV v Basel,Corners Race,1.833,2,LIVE,Bet365,-2,Loss
7/22/19 17:00,Denmark,Odense BK v Lyngby,Corners Race,3.25,1,LIVE,Bet365,-1,Loss
7/21/19 17:00,Slovakia,MFK Ruzomberok v FC Nitra,Corners Race,2.75,1,LIVE,Bet365,-1,Loss
7/21/19 15:30,Sweden,Osters IF v Trelleborgs FF,Corners Race,1.833,3,LIVE,Bet365,2.5,Win
7/18/19 18:45,Europa League,Kilmarnock v Connah's Quay,Corners Race,2.5,1,LIVE,Bet365,-1,Loss
7/18/19 18:45,Europa League,Radnicki Nis v FC Flora Tallinn,Corners Race,3,1,LIVE,Bet365,2,Win
7/18/19 17:00,Europa League,FK Zalgiris Vilnius v Budapest Honved,Corners Race,2.5,2,LIVE,Bet365,-2,Loss
7/17/19 18:45,Champions League,Celtic v FK Sarajevo,Corners Race,3,1,LIVE,Bet365,2,Win
7/14/19 19:00,Brazil,Atletico Paranaense v Internacional,Corners Race,2.75,1,LIVE,Bet365,-1,Loss
7/13/19 14:00,Finland,SJK v VPS Vaasa,Corners Race,2.2,2,LIVE,Bet365,-2,Loss
7/12/19 17:10,Denmark,Midtjylland v Esbjerg,Corners Race,2.2,1,LIVE,Bet365,-1,Loss
7/11/19 18:00,Europa League,Olimpija Ljubljana v Rigas FS,Corners Race,1.8,3,LIVE,Bet365,-3,Loss
7/10/19 18:15,Champions League,Slovan Bratislava v Sutjeska Niksic,Corners Race,1.8,2,LIVE,Bet365,-2,Loss
7/10/19 17:00,Norway,Odd BK v Stabaek,Corners Race,1.833,2,LIVE,Bet365,-2,Loss
7/7/19 9:00,Japan,Nagoya Grampus v Shonan Bellmare,Race to 9 Corners (Count : 7:2),1.727,3,LIVE,Bet365,2.18,Win
7/7/19 9:00,Japan,Tokushima Vortis v JEF Utd Chiba,Race to 7 Corners (Count : 4:1),2.75,2,LIVE,Bet365,3.5,Win
7/6/19 10:00,Japan,Yokohama F-Marinos v Oita,Race to 7 Corners (Count : 5:2),1.833,2,LIVE,Bet365,-2,Loss
7/5/19 17:00,Norway,Stromsgodset v Stabaek,Race to 9 Corners (Count : 6:3),2.5,2,LIVE,Bet365,-2,Loss
7/5/19 17:00,Norway,SK Brann v Mjondalen,Race to 9 Corners (Count : 6:1),2.75,1,LIVE,Bet365,1.75,Win
6/30/19 15:30,Sweden,IFK Norrkoping v Sirius,Race to 9 Corners (Count : 6:4),4.5,1,LIVE,Bet365,-1,Loss
6/25/19 15:30,Finland,FC Honka v RoPS,Race to 7 Corners (Count : 4:1),3.75,1,LIVE,Bet365,-1,Loss
6/23/19 18:00,Norway,SK Brann v Lillestrom,Race to 7 Corners (Count : 5:1),1.833,2,LIVE,Bet365,-2,Loss
6/23/19 14:30,International,Morocco v Namibia,Race to 7 Corners (Count : 5:0),1.909,2,LIVE,Bet365,-2,Loss
6/23/19 7:30,China,Dalian Yifang v Tianjin Tianhai,Race to 9 Corners (Count : 6:2),3.75,1,LIVE,Bet365,-1,Loss
6/22/19 9:00,Japan,Yokohama F-Marinos v Matsumoto Y FC,Race to 9 Corners (Count : 6:4),3.5,1,LIVE,Bet365,2.5,Win
6/15/19 19:00,Spain,Malaga v Deportivo La Coruna,Race to 9 Corners (Count : 7:2),1.833,3,LIVE,Bet365,-3,Loss
6/15/19 9:00,Japan,Omiya Ardija v FC Gifu,Race to 9 Corners (Count : 6:1),3.4,1,LIVE,Bet365,2.4,Win
6/14/19 10:00,Japan,Kawasaki Frontale v Consadole Sapporo,Race to 7 Corners (Count : 4:1),2,2,LIVE,Bet365,2,Win
6/4/19 19:00,Spain,Cadiz v Extremadura,Race to 9 Corners (Count : 6:1),5,2,LIVE,Bet365,8,Win
6/2/19 7:00,Japan,Machida Zelvia v Tochigi SC,Race to 7 Corners (Count : 5:2),1.833,2,LIVE,Bet365,-2,Loss
6/1/19 14:00,Sweden,IFK Goteborg v Orebro SK,Race to 9 Corners (Count : 6:2),2.25,2,LIVE,Bet365,-2,Loss
6/1/19 11:35,China,Shanghai Shenhua v Chongqing Lifan,Race to 5 Corners (Count : 2:1),10,1,LIVE,Bet365,-1,Loss
5/28/19 17:00,Sweden,Malmo FF v GIF Sundsvall,Race to 9 Corners (Count : 7:0),2,2,LIVE,Bet365,2,Win
5/26/19 22:00,Brazil,Cruzeiro v Chapecoense,Race to 9 Corners (Count : 7:1),1.8,2,LIVE,Bet365,-2,Loss
5/25/19 15:00,Czech Republic,Bohemians 1905 v Opava,Race to 9 Corners (Count : 6:1),4.5,1,LIVE,Bet365,-1,Loss
5/25/19 15:00,Czech Republic,Bohemians 1905 v Opava,Race to 7 Corners (Count : 5:1),2,3,LIVE,Bet365,3,Win
5/21/19 17:00,Sweden,Degerfors v Dalkurd FF,Race to 9 Corners (Count : 7:3),3.4,2,LIVE,Bet365,-2,Loss
5/19/19 15:30,Sweden,Osters IF v Mjällby AIF,Asian Corners (Current Corners : 12),1.75,2,LIVE,Bet365,1.5,Win
5/18/19 5:00,Japan,Albirex Niigata v Ehime FC,Race to 5 Corners (Count : 3:2),3.25,2,LIVE,Bet365,4.5,Win
5/18/19 5:00,Japan,Omiya Ardija v Tochigi SC,Race to 7 Corners (Count : 5:3),1.833,2,LIVE,Bet365,1.67,Win
5/12/19 13:00,Czech Republic,Mlada Boleslav v FK Teplice,Race to 9 Corners (Count : 6:3),3.5,1,LIVE,Bet365,2.5,Win
5/11/19 19:00,Brazil,Fluminense v Botafogo,Race to 9 Corners (Count : 6:2),3.5,1,LIVE,Bet365,-1,Loss
5/11/19 14:00,Serbia,FK Vozdovac v FK Backa Palanka,Race to 7 Corners (Count : 4:1),3.25,1,LIVE,Bet365,-1,Loss
